#True quantities 
# 
#true Catch 
NA 165.4012 129.7093 106.0116 91.54444 82.44656 74.78187 71.26495 69.22066 67.4668 66.09138 66.36717 65.45958 66.20271 64.88604 64.20027 65.91887 64.99099 66.16575 65.79349 65.53819 64.21977 65.26459 66.11851 66.04766 65.4192 65.43492 64.71089 65.63457 65.81694 64.69003 66.36737 65.63863 63.95802 65.82409 66.02155 64.85535 66.02311 65.00511 64.89975 65.41206 76.09436 84.41172 89.26177 90.99708 90.55465 91.54781 91.50769 91.82599 93.37889 92.99198 94.16501 93.04835 95.77606 96.30436 96.63913 98.01292 98.16568 100.4631 99.34907 101.8678 102.9958 102.8368 104.3735 104.714 106.3512 103.1243 107.211 108.9833 110.2267 116.3351 122.9754 128.5692 136.3265 141.1123 146.9438 152.4169 156.9198 162.5305 167.5525 169.5526 176.8596 182.0612 180.7817 182.1737 181.9708 183.5752 184.563 183.4274 185.0721 184.7151 186.3586 183.569 185.842 187.7755 185.9184 228.5491 39.71734 39.30973 22.94768 69.07206 39.66822 39.44539 0.0002126293 0.0009389067 152.9113 104.6451 39.68394 0.0002136871 0.00094358 107.9113 
NA 163.7303 129.4021 106.8029 91.30087 81.68904 75.99202 72.63609 69.09352 67.58329 67.52111 65.80248 64.38551 65.02029 65.70371 65.11236 65.3492 65.98794 65.83096 65.63772 64.88115 64.00945 65.51145 66.15482 65.60473 65.84079 64.92549 64.85409 65.35097 65.64711 65.92587 64.76661 66.03249 65.22956 65.07102 65.74963 65.37076 64.80702 64.69457 66.67186 64.25357 76.20284 84.71618 88.17128 91.66406 92.60787 91.60517 92.73187 93.02262 92.13414 92.92675 92.23792 95.54049 94.0507 96.10807 96.28709 97.82232 99.04511 100.5678 99.98123 101.704 102.9339 103.4161 103.4865 104.5539 106.7655 104.6613 107.1446 109.3693 110.5038 116.1062 123.1629 129.7101 135.1281 141.3252 146.0285 153.4375 156.7904 163.3457 167.8918 170.5403 177.4495 179.7881 181.493 182.9023 183.8247 182.684 184.2559 184.7068 185.1592 184.6401 184.3809 185.9567 187.0374 185.4692 185.8144 229.6217 39.6733 39.25199 0.0002116413 125.2588 39.72019 0.000212741 0.0009389733 20.70294 274.2155 39.79719 39.61132 0.0002135904 0.0009426718 148.5791 
NA 164.6939 131.3523 105.7976 91.3873 81.32588 74.97086 71.5176 70.97035 68.06162 65.5827 66.82598 65.56752 65.18123 65.66854 65.40001 64.64027 65.04821 65.72689 65.77977 65.5677 66.01299 65.72252 65.02899 64.2943 64.75565 65.64948 65.28913 64.55176 66.23114 65.18234 65.44225 65.45071 65.38235 65.01635 65.8744 66.29378 64.99355 65.37363 64.89457 66.13883 76.10117 84.16591 88.68801 90.20904 92.46827 92.05347 90.60259 92.62213 92.26923 94.81737 93.50086 93.98297 95.42825 94.92161 96.42024 98.44939 99.41326 97.6958 101.4076 101.6099 102.4239 103.4411 103.7447 105.3802 105.1655 104.1386 107.543 108.0845 111.7584 115.8777 122.8577 128.2908 135.4322 140.8929 147.74 152.0532 157.6192 161.4405 169.6616 170.3753 177.1523 180.8678 181.7478 181.0774 183.402 183.495 183.3542 183.2682 185.08 184.2061 185.3325 185.4649 185.5911 186.623 186.2768 229.1083 39.73657 39.26212 39.27497 39.3662 39.44878 39.46713 39.56069 39.52185 39.49747 39.65439 39.65326 39.65884 39.64683 39.66416 
NA 166.6436 128.6064 107.7658 92.07587 82.07252 75.08831 70.95074 68.00576 68.50805 66.12607 66.34742 65.59069 66.66696 65.02478 65.89889 64.30014 65.48016 64.94215 65.98677 64.7722 64.93432 64.83002 64.47966 66.04756 66.71178 65.64603 65.62482 65.63448 65.06157 65.07752 66.00297 64.87474 66.13141 64.54759 65.97623 66.32143 65.00404 65.55818 65.51325 65.5111 76.53679 83.20091 87.5417 90.45334 92.43733 91.03968 92.79835 93.9833 92.12598 92.8448 92.69256 94.40717 96.03592 94.32273 97.25608 97.64135 98.62915 100.075 100.3312 102.3328 101.9515 102.978 104.7899 105.0281 105.867 104.4029 107.2469 107.8907 111.3098 116.5308 121.8275 130.3203 134.1744 142.4753 147.5929 150.4315 157.7781 163.8403 167.0739 170.8768 177.397 180.1738 183.0058 182.3254 182.256 182.8271 184.6974 183.4429 184.7946 184.5821 184.3516 185.6559 186.7163 186.1188 186.4169 228.9746 39.6482 39.29632 0.0002118613 125.3047 39.73175 39.41173 39.46796 39.56828 39.56666 39.59808 39.64151 39.70063 39.64225 NA 
#true fishing mortality 
0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.318 0.366 0.414 0.462 0.51 0.558 0.606 0.654 0.702 0.75 0.798 0.846 0.894 0.942 0.99 1.038 1.086 1.134 1.182 1.23 1.278 1.326 1.374 1.422 1.47 1.47 1.545385 1.620769 1.696154 1.771538 1.846923 1.922308 1.997692 2.073077 2.148462 2.223846 2.299231 2.374615 2.45 2.45 2.450625 2.45125 2.451875 2.4525 2.453125 2.45375 2.454375 2.455 2.455625 2.45625 2.456875 2.4575 2.458125 2.45875 2.459375 11.51283 11.51283 11.51283 1.695193 11.51283 11.51283 11.51283 1.000098e-05 1.000098e-05 1.645044 11.51283 11.51283 1.000098e-05 1.000098e-05 0.887742 
0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.318 0.366 0.414 0.462 0.51 0.558 0.606 0.654 0.702 0.75 0.798 0.846 0.894 0.942 0.99 1.038 1.086 1.134 1.182 1.23 1.278 1.326 1.374 1.422 1.47 1.47 1.545385 1.620769 1.696154 1.771538 1.846923 1.922308 1.997692 2.073077 2.148462 2.223846 2.299231 2.374615 2.45 2.45 2.450625 2.45125 2.451875 2.4525 2.453125 2.45375 2.454375 2.455 2.455625 2.45625 2.456875 2.4575 2.458125 2.45875 2.459375 11.51283 11.51283 11.51283 1.000098e-05 11.51283 11.51283 1.000098e-05 1.000098e-05 0.1258642 11.51283 11.51283 11.51283 1.000098e-05 1.000098e-05 1.539168 
0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.318 0.366 0.414 0.462 0.51 0.558 0.606 0.654 0.702 0.75 0.798 0.846 0.894 0.942 0.99 1.038 1.086 1.134 1.182 1.23 1.278 1.326 1.374 1.422 1.47 1.47 1.545385 1.620769 1.696154 1.771538 1.846923 1.922308 1.997692 2.073077 2.148462 2.223846 2.299231 2.374615 2.45 2.45 2.450625 2.45125 2.451875 2.4525 2.453125 2.45375 2.454375 2.455 2.455625 2.45625 2.456875 2.4575 2.458125 2.45875 2.459375 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 
0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.318 0.366 0.414 0.462 0.51 0.558 0.606 0.654 0.702 0.75 0.798 0.846 0.894 0.942 0.99 1.038 1.086 1.134 1.182 1.23 1.278 1.326 1.374 1.422 1.47 1.47 1.545385 1.620769 1.696154 1.771538 1.846923 1.922308 1.997692 2.073077 2.148462 2.223846 2.299231 2.374615 2.45 2.45 2.450625 2.45125 2.451875 2.4525 2.453125 2.45375 2.454375 2.455 2.455625 2.45625 2.456875 2.4575 2.458125 2.45875 2.459375 11.51283 11.51283 11.51283 1.000098e-05 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 NA 
#true spawning biomass 
