"","Linf","k","t0","M","a","b","F","Mat50","Mat95","L50","L95"
"1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1958",NA,NA,NA,NA,NA,NA,0.130492468596917,NA,NA,16.0168369487939,20.9631155515206
"1959",35.332090152013,0.24062657505331,-1.16599049183414,0.277333514209824,1.91298357841808e-05,3.05929089036033,0.196415293226572,1.77963617154805,2.46283462253515,15.9069338606993,20.8340692427308
"1960",35.0963026886063,0.245693262162064,-1.15312530256679,0.281527512474204,2.07262910721481e-05,3.04858454092207,0.262338117856226,1.76374844617799,2.44210498182711,15.7970307726047,20.7050229339411
"1961",34.8605152251995,0.250756085104775,-1.14026011329944,0.285721510738584,2.23221969513443e-05,3.03788042403973,0.328244088255325,1.74786072080793,2.42137534111906,15.6871276845101,20.5759766251512
"1962",34.6247277617928,0.255809614970907,-1.12739492403209,0.289915509002961,2.39148063779141e-05,3.02718970249285,0.394048933271091,1.73197299543787,2.40064570041103,15.5772245964156,20.4469303163614
"1963",34.388940298386,0.260848031663796,-1.11452973476476,0.294109507267335,2.55008228992311e-05,3.01652577161688,0.459651527520188,1.71608527006783,2.37991605970299,15.467321508321,20.3178840075715
"1964",34.1531528349791,0.265865585440622,-1.10166454549744,0.298303505531702,2.70767458160468e-05,3.00590285671585,0.524946681285945,1.7001975446978,2.35918641899497,15.3574184202265,20.1888376987815
"1965",33.9173653715722,0.270856807973913,-1.08879935623015,0.30249750379606,2.86382574426247e-05,2.99533850296798,0.589812947518336,1.68430981932778,2.33845677828695,15.247515332132,20.0597913899914
"1966",33.6815779081653,0.275816301290041,-1.07593416696288,0.306691502060406,3.01808358466059e-05,2.98485108552006,0.654124814833997,1.66842209395778,2.31772713757894,15.1376122440375,19.9307450812012
"1967",33.4457904447582,0.280738667415373,-1.06306897769564,0.310885500324737,3.16999590956318e-05,2.97445897951886,0.717756771849561,1.6525343685878,2.29699749687094,15.027709155943,19.8016987724109
"1968",33.2100029813511,0.28561850837628,-1.05020378842843,0.315079498589052,3.31911052573438e-05,2.96418056011117,0.780583307181664,1.63664664321784,2.27626785616296,14.9178060678486,19.6726524636205
"1969",32.9742155179439,0.290450426199129,-1.03733859916126,0.319273496853347,3.4649752399383e-05,2.95403420244377,0.842478909446942,1.62075891784792,2.25553821545499,14.8079029797543,19.5436061548299
"1970",32.7384280545365,0.295229022910292,-1.02447340989413,0.323467495117619,3.60713785893909e-05,2.94403828166345,0.903318067262029,1.60487119247802,2.23480857474704,14.6979998916599,19.4145598460391
"1971",32.5026405911291,0.299948900536136,-1.01160822062704,0.327661493381867,3.74514618950088e-05,2.93421117291698,0.962975269243562,1.58898346710815,2.21407893403911,14.5880968035657,19.2855135372481
"1972",32.2668531277215,0.304604661103031,-0.998743031360009,0.331855491646087,3.87854803838778e-05,2.92457125135115,1.02132500400817,1.57309574173832,2.19334929333119,14.4781937154715,19.1564672284569
"1973",32.0310656643138,0.309190906637346,-0.985877842093028,0.336049489910276,4.00689121236394e-05,2.91513689211274,1.0782417601725,1.55720801636853,2.1726196526233,14.3682906273773,19.0274209196655
"1974",31.7952782009059,0.313702239165451,-0.973012652826105,0.340243488174433,4.12972351819348e-05,2.90592647034854,1.13360002635318,1.54132029099879,2.15189001191543,14.2583875392832,18.8983746108738
"1975",31.5594907374979,0.318133260713714,-0.960147463559243,0.344437486438554,4.24659276264054e-05,2.89695836120532,1.18727429116684,1.52543256562908,2.13116037120759,14.1484844511892,18.7693283020818
"1976",31.3237032740897,0.322478573308505,-0.947282274292448,0.348631484702636,4.35704675246924e-05,2.88825093982987,1.23913904323013,1.50954484025943,2.11043073049977,14.0385813630953,18.6402819932896
"1977",31.0879158106813,0.326732778976194,-0.934417085025722,0.352825482966678,4.46063329444372e-05,2.87982258136897,1.28906877115967,1.49365711488982,2.08970108979198,13.9286782750015,18.5112356844971
"1978",30.8521283472728,0.330890479743149,-0.921551895759071,0.357019481230676,4.5569001953281e-05,2.8716916609694,1.3369379635721,1.47776938952028,2.06897144908422,13.8187751869077,18.3821893757042
"1979",30.616340883864,0.334946277635739,-0.908686706492497,0.361213479494628,4.64539526188653e-05,2.86387655377795,1.38262110908405,1.46188166415078,2.0482418083765,13.708872098814,18.253143066911
"1980",30.380553420455,0.338894774680334,-0.895821517226006,0.36540747775853,4.72566630088311e-05,2.8563956349414,1.42599269631217,1.44599393878135,2.0275121676688,13.5989690107205,18.1240967581175
"1981",30.1447659570457,0.342730572903303,-0.882956327959601,0.369601476022382,4.797261119082e-05,2.84926727960653,1.46692721387309,1.43010621341198,2.00678252696115,13.489065922627,17.9950504493236
"1982",29.9089784936363,0.346448274331015,-0.870091138693287,0.373795474286178,4.85972752324731e-05,2.84250986292012,1.50529915038343,1.41421848804268,1.98605288625352,13.3791628345336,17.8660041405293
"1983",29.6731910302265,0.35004248098984,-0.857225949427067,0.377989472549918,4.91261332014318e-05,2.83614176002895,1.54098299445985,1.39833076267344,1.96532324554594,13.2692597464403,17.7369578317346
"1984",29.4374035668166,0.353508502159292,-0.844360760160946,0.382183470813599,4.95550350056249e-05,2.83017983508422,1.57386901842683,1.38244303730427,1.94459360483839,13.1593566583471,17.6079115229396
"1985",29.2016161034063,0.356844476131469,-0.831495570894923,0.38637746907722,4.98813179141316e-05,2.82463490825475,1.60391062944036,1.36655531193516,1.92386396413088,13.0494535702541,17.4788652141441
