#True quantities 
# 
#true Catch 
NA 161.7553 131.3832 106.8358 92.0206 82.28554 75.11463 71.37798 69.20596 66.66599 66.64187 66.98906 65.79027 65.72534 66.8255 64.51997 64.8638 65.1197 65.52559 65.18806 65.73344 65.01551 65.50811 65.67485 64.99732 65.42439 66.31663 65.56505 65.63828 65.24388 64.82187 66.20615 64.98084 65.71447 65.97121 64.25507 65.38342 64.83011 65.62533 64.90989 64.17366 76.50531 85.39942 87.89279 93.20734 91.4499 92.92288 92.79227 92.3216 89.99913 93.30318 94.16044 93.35603 94.7092 95.44957 96.93934 97.92173 98.07057 100.1311 100.6585 101.6959 102.0247 103.7006 104.1184 105.3598 105.4889 104.5955 105.7916 109.759 111.315 115.3576 123.4517 129.5588 134.6891 141.5791 145.7632 152.8204 157.0792 162.8327 167.2368 171.7253 175.8222 181.3819 182.2496 181.6789 183.1906 183.1378 183.0873 185.1636 183.894 184.1216 185.6885 185.1783 185.5246 185.6789 186.8356 0.001807384 109.5725 234.8606 39.63817 39.43961 39.31819 39.46646 39.4456 39.58267 39.61386 39.53692 39.67411 39.67525 39.70809 39.69616 
NA 164.4826 128.4585 108.2254 92.09786 82.70597 75.97073 70.50588 69.03897 66.97183 66.89501 65.52325 66.54988 65.33527 64.77224 66.31664 65.48384 65.53802 65.31596 65.17711 65.76565 65.32129 65.09874 64.92512 65.41379 65.51264 66.39773 66.38557 64.93924 64.60836 64.70286 66.05866 64.37823 65.38122 65.78816 65.02289 65.28871 64.33322 66.07721 65.18489 65.37059 76.45629 84.02956 88.54019 91.46326 92.48887 91.12557 92.18602 91.37742 93.24502 93.18415 94.15085 94.5901 94.86559 95.46931 97.07915 97.01919 99.66365 98.68061 102.4322 101.0814 101.7678 103.1812 104.2778 104.3313 106.3519 103.3239 107.3531 108.9135 111.9188 116.1289 122.2543 129.2889 135.8585 140.4413 146.6531 152.6489 158.6278 162.8508 167.4595 171.2719 177.6234 181.0284 181.3579 182.9162 181.9839 183.6274 182.2886 184.883 185.1015 184.8718 185.8283 185.6298 186.0725 186.0231 185.2278 89.18333 191.8198 39.69399 39.27779 39.37435 39.35801 39.4211 39.51478 39.49953 39.56468 39.46367 39.63434 39.64313 39.68824 39.5788 
NA 165.1286 128.4151 108.4914 91.42109 81.59373 75.67014 72.2846 68.11162 66.37302 67.42733 65.90946 65.8603 65.66703 65.55406 65.15172 64.82041 66.81692 64.8359 66.36518 64.78811 65.50901 64.37151 66.25142 64.3803 65.88489 66.22856 65.70989 64.47921 65.57827 65.76136 65.13551 65.36092 65.37178 65.4913 65.16161 65.29147 65.15811 64.61422 65.96808 66.10036 75.71959 84.73858 88.03252 91.61528 90.12587 91.63426 92.62381 91.32468 92.75087 92.65484 95.01874 94.78909 93.9907 97.34256 96.70154 97.34324 98.08781 99.62223 100.1792 101.8764 102.5421 103.1093 104.9149 104.5663 105.913 102.7057 108.5384 109.2927 110.9607 115.8005 123.1453 130.1502 134.8463 140.3213 147.4217 152.0537 158.0104 163.1152 167.5518 170.9137 176.6236 181.548 181.0592 182.415 183.9526 183.2825 183.7664 183.4919 184.688 184.8455 185.6633 185.5954 186.8749 185.3067 185.6763 0.001813945 0.00245705 35.10911 179.3748 205.2685 39.70912 39.45107 39.48554 39.51468 39.5763 39.64666 39.62996 39.6135 39.61611 39.68511 
NA 165.0231 132.8475 106.1418 92.38028 80.07362 74.99971 72.29897 69.29759 66.52738 67.40248 66.22002 66.17045 65.8692 66.19497 65.24643 65.10118 65.52901 65.24967 65.75459 66.22564 64.9574 64.17371 66.44816 65.05914 66.04276 64.64835 66.07952 65.98586 65.64713 64.69616 64.98032 65.77324 65.91959 64.85714 65.54986 65.55223 64.94066 65.18391 66.22611 64.81668 76.52269 82.77082 90.00797 88.89367 91.21648 92.09553 92.16224 92.19355 92.46678 93.51997 94.49134 94.22263 96.24289 94.58756 96.12829 98.99617 97.95131 99.22516 101.3549 100.2314 102.6184 102.9923 104.6253 105.2652 106.2247 102.8078 108.0845 108.7871 110.2896 117.036 122.5553 129.0552 135.7631 140.7157 146.4998 152.1021 157.8747 163.1988 167.297 171.9801 176.1419 180.1411 183.424 181.7642 183.0148 182.3892 181.9883 186.4626 184.65 184.1322 185.4086 186.0946 184.9929 185.8308 186.5182 14.77062 151.0238 169.3367 39.67399 39.32281 39.41675 39.43735 39.48455 39.52 39.54867 39.65642 39.58268 39.73531 39.64036 NA 
#true fishing mortality 
0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.318 0.366 0.414 0.462 0.51 0.558 0.606 0.654 0.702 0.75 0.798 0.846 0.894 0.942 0.99 1.038 1.086 1.134 1.182 1.23 1.278 1.326 1.374 1.422 1.47 1.47 1.545385 1.620769 1.696154 1.771538 1.846923 1.922308 1.997692 2.073077 2.148462 2.223846 2.299231 2.374615 2.45 2.45 2.450625 2.45125 2.451875 2.4525 2.453125 2.45375 2.454375 2.455 2.455625 2.45625 2.456875 2.4575 2.458125 2.45875 2.459375 1.000098e-05 0.5693936 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 
0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.318 0.366 0.414 0.462 0.51 0.558 0.606 0.654 0.702 0.75 0.798 0.846 0.894 0.942 0.99 1.038 1.086 1.134 1.182 1.23 1.278 1.326 1.374 1.422 1.47 1.47 1.545385 1.620769 1.696154 1.771538 1.846923 1.922308 1.997692 2.073077 2.148462 2.223846 2.299231 2.374615 2.45 2.45 2.450625 2.45125 2.451875 2.4525 2.453125 2.45375 2.454375 2.455 2.455625 2.45625 2.456875 2.4575 2.458125 2.45875 2.459375 0.6449767 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 
0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.318 0.366 0.414 0.462 0.51 0.558 0.606 0.654 0.702 0.75 0.798 0.846 0.894 0.942 0.99 1.038 1.086 1.134 1.182 1.23 1.278 1.326 1.374 1.422 1.47 1.47 1.545385 1.620769 1.696154 1.771538 1.846923 1.922308 1.997692 2.073077 2.148462 2.223846 2.299231 2.374615 2.45 2.45 2.450625 2.45125 2.451875 2.4525 2.453125 2.45375 2.454375 2.455 2.455625 2.45625 2.456875 2.4575 2.458125 2.45875 2.459375 1.000098e-05 1.000098e-05 0.1260144 0.8704004 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 
0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.27 0.318 0.366 0.414 0.462 0.51 0.558 0.606 0.654 0.702 0.75 0.798 0.846 0.894 0.942 0.99 1.038 1.086 1.134 1.182 1.23 1.278 1.326 1.374 1.422 1.47 1.47 1.545385 1.620769 1.696154 1.771538 1.846923 1.922308 1.997692 2.073077 2.148462 2.223846 2.299231 2.374615 2.45 2.45 2.450625 2.45125 2.451875 2.4525 2.453125 2.45375 2.454375 2.455 2.455625 2.45625 2.456875 2.4575 2.458125 2.45875 2.459375 0.08467478 0.9842436 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 11.51283 NA 
#true spawning biomass 
